id,name,hamletId,officialOrder
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_ihi_umu_ihi,Umu - Ihi,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_ihi,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_ihi_umu_ihi,Umu - Ihi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_ihi,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_agbagosim_umu_agbagosim,Umu - Agbagosim,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_agbagosim,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_agbagosim_umu_agbagosim,Umu - Agbagosim,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_agbagosim,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_nwokereobi_ikegwuonu_umu_ikenwoke,Umu - Ikenwoke,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_nwokereobi_ikegwuonu,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_nwokereobi_ikegwuonu_umu_ikenwoke,Umu - Ikenwoke,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_nwokereobi_ikegwuonu,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_nwokereobi_ikegwuonu_umu_mnegwa,Umu - Mnegwa,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_nwokereobi_ikegwuonu,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_nwokereobi_ikegwuonu_umu_mnegwa,Umu - Mnegwa,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_nwokereobi_ikegwuonu,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuakwa_umuakwa,Umuakwa,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuakwa,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuigwe_umuokparadibe,Umuokparadibe,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuigwe,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuigwe_umuechefu,Umuechefu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuigwe,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umunzerendu_umunzerendu,Umunzerendu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umunzerendu,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuanum_ezeana_iheanaekwe,Ezeana/Iheanaekwe,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu_umuogu_umuanum,1
