state_constituency_id,state_constituency_name,state_id,lga_id
SC_178_BN,Obi,ST_BE,LGA_BE_OBI
SC_179_BN,Ogbadibo,ST_BE,LGA_BE_OGBADIBO
SC_180_BN,Ohimini,ST_BE,LGA_BE_OHIMINI
SC_181_BN,Oju,ST_BE,LGA_BE_OJU
SC_182_BN,Okpokwu,ST_BE,LGA_BE_OKPOKWU
SC_183_BN,Otukpo,ST_BE,LGA_BE_OTURKPO
SC_184_BN,Otukpo North East,ST_BE,LGA_BE_OTURKPO
SC_185_BN,Tarka,ST_BE,LGA_BE_TARKA
SC_186_BN,Ukum I(Ngenev),ST_BE,LGA_BE_UKUM
SC_187_BN,Ushongo,ST_BE,LGA_BE_USHONGO
SC_188_BN,Vandeikya I,ST_BE,LGA_BE_VANDEIKYA
SC_189_BN,Vandeikya II,ST_BE,LGA_BE_VANDEIKYA
SC_190_BO,Abadam,ST_BO,LGA_BO_ABADAM
SC_191_BO,Askira,ST_BO,LGA_BO_ASKIRA_UBA
SC_192_BO,Bama,ST_BO,LGA_BO_BAMA
SC_193_BO,Bayo,ST_BO,LGA_BO_BAYO
SC_194_BO,Biu,ST_BO,LGA_BO_BIU
SC_195_BO,Chibok,ST_BO,LGA_BO_CHIBOK
SC_196_BO,Damboa,ST_BO,LGA_BO_DAMBOA
SC_197_BO,Dikwa,ST_BO,LGA_BO_DIKWA
SC_198_BO,Gubio,ST_BO,LGA_BO_GUBIO
SC_199_BO,Gulumba,ST_BO,LGA_BO_BAMA
SC_200_BO,Guzamala,ST_BO,LGA_BO_GUZAMALA
SC_201_BO,Gwoza,ST_BO,LGA_BO_GWOZA
SC_202_BO,Hawul,ST_BO,LGA_BO_HAWUL
SC_203_BO,Jere,ST_BO,LGA_BO_JERE
SC_204_BO,Kaga,ST_BO,LGA_BO_KAGA
SC_205_BO,Kala Balge,ST_BO,LGA_BO_KALA_BALGE
SC_206_BO,Konduga,ST_BO,LGA_BO_KONDUGA
SC_207_BO,Kukawa,ST_BO,LGA_BO_KUKAWA
SC_208_BO,Kwaya Kusar,ST_BO,LGA_BO_KWAYA_KUSAR
SC_209_BO,Mafa,ST_BO,LGA_BO_MAFA
SC_210_BO,Magumeri,ST_BO,LGA_BO_MAGUMERI
SC_211_BO,Maiduguri M.c,ST_BO,LGA_BO_MAIDUGURI
SC_212_BO,Marte,ST_BO,LGA_BO_MARTE
SC_213_BO,Mobbar,ST_BO,LGA_BO_MOBBAR
SC_214_BO,Monguno,ST_BO,LGA_BO_MONGUNO
SC_215_BO,Ngala,ST_BO,LGA_BO_NGALA
SC_216_BO,Nganzai,ST_BO,LGA_BO_NGANZAI
SC_217_BO,Shani,ST_BO,LGA_BO_SHANI
SC_218_CR,Abi,ST_CR,LGA_CR_ABI
SC_219_CR,Akamkpa I,ST_CR,LGA_CR_AKAMKPA
SC_220_CR,Akamkpa II,ST_CR,LGA_CR_AKAMKPA
SC_221_CR,Akpabuyo,ST_CR,LGA_CR_AKPABUYO
SC_222_CR,Bakassi,ST_CR,LGA_CR_BAKASSI
SC_223_CR,Biase,ST_CR,LGA_CR_BIASE
SC_224_CR,Boki I,ST_CR,LGA_CR_BOKI
SC_225_CR,Boki II,ST_CR,LGA_CR_BOKI
SC_226_CR,Bekwarra,ST_CR,LGA_CR_BEKWARRA
SC_227_CR,Calabar Municipal,ST_CR,LGA_CR_CALABAR_MUNICIPAL
SC_228_CR,Calabar South I,ST_CR,LGA_CR_CALABAR_SOUTH
