admin_level_3_id,admin_level_3_name,admin_level_2_id,admin_level_1_id,country_id
ADM3_BEN_ATLANTIQUE_OUIDAH_OUIDAH_IV,Ouidah IV,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_PAHOU,Pahou,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_OUIDAH_SAVI,Savi,ADM2_BEN_ATLANTIQUE_OUIDAH,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_AHOMEY_LOKPO,Ahomey-Lokpo,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_DEKANMEY,Dékanmey,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_GANVIE_I,Ganvié I,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_GANVIE_II,Ganvié II,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_HOUEDO_AGUEKON,Houédo-Aguékon,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_SO_AVA,Sô-Ava,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_SO_AVA_VEKKY,Vekky,ADM2_BEN_ATLANTIQUE_SO_AVA,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_AGUE,Agué,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_COLLI_AGBAME,Colli-Agbamè,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_COUSSI,Coussi,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_DAME,Damè,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_DJANGLANME,Djanglanmè,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_HOUEGBO,Houégbo,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_KPOME,Kpomé,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_SE,Sè,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_SEHOUE,Séhouè,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TOFFO_TOFFO_AGUE,Toffo-Agué,ADM2_BEN_ATLANTIQUE_TOFFO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TORI_BOSSITO_AVAME,Avamè,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TORI_BOSSITO_AZOHOUE_ALIHO,Azohouè-Aliho,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TORI_BOSSITO_AZOHOUE_CADA,Azohouè-Cada,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TORI_BOSSITO_TORI_BOSSITO,Tori-Bossito,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TORI_BOSSITO_TORI_CADA,Tori-Cada,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_TORI_BOSSITO_TORI_GARE,Tori-Gare,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ZE_ADJAN,Adjan,ADM2_BEN_ATLANTIQUE_ZE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ZE_DAWE,Dawé,ADM2_BEN_ATLANTIQUE_ZE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ZE_DJIGBE,Djigbé,ADM2_BEN_ATLANTIQUE_ZE,ADM1_BEN_ATLANTIQUE,CT_BEN
ADM3_BEN_ATLANTIQUE_ZE_DODJI_BATA,Dodji-Bata,ADM2_BEN_ATLANTIQUE_ZE,ADM1_BEN_ATLANTIQUE,CT_BEN
